,alternativeSpellings,createdAt,department,id,name,updatedAt
78,,2016-03-24T08:35:29.914Z,104,5415,"Emmental, luomu",2016-03-24T08:35:29.914Z
79,,2016-03-24T08:35:31.211Z,108,5419,Espresso,2016-03-24T08:35:31.211Z
80,,2016-03-24T08:35:33.473Z,101,5426,"Fazer Puikula, kaura",2016-03-24T08:35:33.473Z
81,,2016-03-24T08:35:33.792Z,101,5427,"Fazer Puikula, kaurapaahto",2016-03-24T08:35:33.792Z
82,,2016-03-24T08:35:34.182Z,101,5428,"Fazer Puikula, ruispala",2016-03-24T08:35:34.182Z
83,,2016-03-24T08:35:36.177Z,104,5434,Flora Ruoka pehmeä curry,2016-03-24T08:35:36.177Z
84,,2016-03-24T08:35:36.495Z,111,5435,Folio,2016-03-24T08:35:36.495Z
85,,2016-03-24T08:35:38.454Z,106,5441,"Fondi, liha",2016-03-24T08:35:38.454Z
86,,2016-03-24T08:35:44.062Z,102,5456,"Graavikirjolohi, viipale",2016-03-24T08:35:44.062Z
87,[],2016-04-13T11:47:57.296Z,,7382,"Panko, japanilainen korppujauho",2016-04-27T08:22:59.458Z
88,[],2016-06-06T12:56:06.849Z,,7422,Siemenpatonki,2016-06-06T12:56:06.849Z
89,[],2016-03-24T08:35:32.815Z,101,5424,Grahampalaleipä,2016-08-02T11:20:47.151Z
90,,2016-03-24T08:35:48.532Z,102,5469,Grillibalkan,2016-03-24T08:35:48.532Z
91,,2016-03-24T08:35:48.851Z,100,5470,Grilliherkkusieni,2016-03-24T08:35:48.851Z
92,,2016-03-24T08:34:47.554Z,102,5289,Broilerin jauheliha,2016-12-16T09:10:22.925Z
93,,2016-03-24T08:35:18.632Z,106,5382,Curry,2016-12-16T09:12:25.849Z
94,,2016-03-24T08:35:19.018Z,106,5383,"Currykastike, punainen",2016-12-16T09:12:29.959Z
95,,2016-03-24T08:35:19.655Z,105,5385,"Currytahna, keltainen",2016-12-16T09:12:31.702Z
96,,2016-03-24T08:35:20.240Z,105,5386,"Currytahna, punainen",2016-12-16T09:12:34.049Z
97,,2016-03-24T08:35:20.559Z,105,5387,"Currytahna, tandoori",2016-12-16T09:12:34.919Z
98,,2016-03-24T08:35:21.238Z,105,5389,"Currytahna, vindaloo",2016-12-16T09:12:37.513Z
99,,2016-03-24T08:35:21.557Z,111,5390,Deodorantti,2016-12-16T09:12:40.125Z
100,,2016-03-24T08:35:21.875Z,101,5391,Digestive keksi,2016-12-16T09:12:40.901Z
101,,2016-03-24T08:35:22.254Z,101,5392,"Digestive keksi, täysjyvä",2016-12-16T09:12:42.339Z
